Interpreter,Path,Version,First Runtime (s),Second Runtime (s),Loop Runtime (s),Estimated Iterations (K)
python,/usr/bin/python,"3.12.3 (main, Nov  6 2024, 18:32:19) [GCC 13.2.0]",0.05,0.41,0.21,20000
python,/home/fekerr/src/notphy/_venv/bin/python,"3.12.3 (main, Nov  6 2024, 18:32:19) [GCC 13.2.0]",0.03,0.65,0.32,33334
python3,/usr/bin/python3,"3.12.3 (main, Nov  6 2024, 18:32:19) [GCC 13.2.0]",0.04,0.78,0.26,25000
python3,/home/fekerr/src/notphy/_venv/bin/python3,"3.12.3 (main, Nov  6 2024, 18:32:19) [GCC 13.2.0]",0.03,0.61,0.33,33334
pypy,/snap/bin/pypy,"2.7.18 (c7f2b53ceffe, Aug 22 2024, 13:10:41)",0.06,0.05,0.05,16667
MicroPython,/usr/bin/micropython,3.4.0; v1.22.1+ds-1build2 on 2024-04-01,0.02,1.2,1.0,50000
CircuitPython,/home/fekerr/src/notphy/_venv/bin/micropython,3.4.0; 9.2.1-49-gd4fb4e8169-dirty on 2025-01-03,0.04,0.97,0.6,25000
